Date,Open,High,Low,Close,Adj Close,Volume
2018-01-11,290.149994,290.149994,287.750000,289.519989,272.174164,4300
2018-01-12,291.820007,295.049988,291.820007,294.640015,276.987427,200
2018-01-16,296.609985,298.500000,296.000000,297.799988,279.958069,300
2018-01-17,296.609985,298.350006,296.609985,296.890015,279.102631,100
2018-01-18,293.500000,293.500000,291.309998,292.859985,275.313995,100
2018-01-19,293.769989,295.010010,292.950012,293.250000,275.680725,100
2018-01-22,296.209991,298.269989,296.209991,296.250000,278.500946,400
2018-01-23,300.899994,301.750000,299.010010,301.329987,283.276550,400
2018-01-24,302.260010,304.250000,299.709991,299.739990,281.781830,300
2018-01-25,303.929993,310.920013,299.649994,310.920013,292.292023,700
2018-01-26,312.250000,314.299988,311.750000,311.920013,293.232117,500
2018-01-29,312.519989,313.850006,311.190002,313.260010,294.491852,1200
2018-01-30,313.799988,313.859985,310.100006,312.000000,293.307281,100
2018-01-31,316.000000,316.000000,311.980011,314.000000,295.187500,200
2018-02-01,314.049988,315.950012,313.940002,315.149994,296.268555,900
2018-02-02,312.750000,312.750000,307.769989,309.700012,291.145081,400
2018-02-05,301.920013,303.899994,293.100006,298.160004,280.296570,800
2018-02-06,290.000000,299.700012,289.730011,299.700012,281.744232,3600
2018-02-07,298.450012,302.140015,298.450012,300.869995,282.844147,300
2018-02-08,293.750000,293.750000,287.720001,287.720001,270.481964,300
2018-02-09,288.899994,289.750000,279.980011,288.000000,270.745178,1600
2018-02-12,293.950012,299.600006,293.950012,296.250000,278.500946,300
2018-02-13,294.299988,295.339996,292.670013,295.339996,277.645416,2400
2018-02-14,293.299988,302.760010,293.299988,302.760010,284.620941,200
2018-02-15,302.790009,306.630005,302.790009,305.959991,287.629211,1100
2018-02-16,309.140015,310.390015,308.519989,309.970001,291.398926,700
2018-02-20,303.399994,303.589996,300.720001,302.649994,284.517517,400
2018-02-21,302.649994,306.260010,301.299988,301.299988,283.248383,400
2018-02-22,300.609985,303.500000,300.609985,303.149994,284.987518,100
2018-02-23,303.149994,304.489990,301.850006,304.489990,286.247223,600
2018-02-26,307.670013,308.820007,306.380005,308.820007,290.317841,500
2018-02-27,302.750000,304.450012,301.910004,302.000000,283.906433,100
2018-02-28,302.899994,303.420013,299.500000,302.000000,283.906433,600
2018-03-01,297.899994,297.899994,293.799988,294.450012,276.808807,500
2018-03-02,295.299988,297.350006,295.290009,297.350006,279.535034,100
2018-03-05,295.950012,299.119995,295.000000,296.549988,278.782990,2400
2018-03-06,301.059998,301.250000,298.399994,301.250000,283.201355,1100
2018-03-07,296.950012,301.299988,296.950012,300.000000,282.026276,4700
2018-03-08,303.230011,303.350006,300.950012,300.950012,282.919312,400
2018-03-09,303.929993,303.929993,302.149994,303.750000,285.551575,100
2018-03-12,303.750000,305.200012,302.700012,305.200012,286.914703,100
2018-03-13,306.000000,306.000000,300.279999,300.279999,282.289520,100
2018-03-14,303.549988,303.549988,299.200012,301.790009,283.709076,200
2018-03-15,303.750000,306.380005,303.100006,304.250000,286.021637,100
